,MessageDate,Negative,Positive,Total,Rank,Population,Negative_norm,Postitive_norm,Total_norm,County
0,2020-03-10,0,1,1,1,1749343,0.0,0.0,0.0,Michigan
1,2020-03-11,1,0,1,62,22780,0.0,0.0,0.0,Michigan
2,2020-03-12,2,9,11,177,3166498,0.0,0.0,0.0,Michigan
3,2020-03-13,8,11,19,279,5103366,0.0,0.0,0.0,Michigan
4,2020-03-14,16,6,22,180,4498806,0.0,0.0,0.0,Michigan
5,2020-03-15,12,13,25,119,5689195,0.0,0.0,0.0,Michigan
6,2020-03-16,110,8,118,693,6987723,0.0,0.0,0.0,Michigan
7,2020-03-17,570,100,670,651,7657365,9.610764055742432e-05,0.0,9.610764055742432e-05,Michigan
8,2020-03-18,506,97,603,1640,9112398,0.0,0.0,0.0,Michigan
9,2020-03-19,491,101,592,1987,8572751,0.0,0.0,0.0,Michigan
10,2020-03-20,829,170,999,2621,9449266,0.00019221528111484863,0.0,0.00019221528111484863,Michigan
11,2020-03-21,868,231,1099,2203,9416400,0.0,0.0,0.0,Michigan
12,2020-03-22,559,227,786,2023,9118126,0.0,0.0,0.0,Michigan
13,2020-03-23,711,267,978,2070,9368182,0.00010979358805445762,0.0,0.00010979358805445762,Michigan
14,2020-03-24,977,371,1348,2860,9594440,0.00010979358805445762,0.0,0.00010979358805445762,Michigan
15,2020-03-25,1491,408,1899,2786,9579175,8.468762967793295e-06,0.0,8.468762967793295e-06,Michigan
16,2020-03-26,2423,638,3061,2932,9678278,8.468762967793295e-06,0.0,8.468762967793295e-06,Michigan
17,2020-03-27,1842,750,2592,2485,9541993,0.0,0.0,0.0,Michigan
18,2020-03-28,1453,706,2159,2451,9574445,0.0,0.0,0.0,Michigan
19,2020-03-29,1296,599,1895,2802,9644029,3.520506953001232e-05,0.0,3.520506953001232e-05,Michigan
20,2020-03-30,2841,1058,3899,2984,9709187,0.00014082027812004929,0.0,0.00014082027812004929,Michigan
21,2020-03-31,2354,1192,3546,2712,9645877,0.0,0.0,0.0,Michigan
22,2020-04-01,2948,1657,4605,2590,9605965,8.574858514834505e-05,0.0,8.574858514834505e-05,Michigan
23,2020-04-02,2795,1595,4390,3001,9697499,4.287429257417253e-05,0.0,4.287429257417253e-05,Michigan
